Id,Top_High,Top_Low,Bot_High,Bot_Low
a_1,3.333333333,1.204819277,3.703703704,5.660377358
a_2,1.666666667,1.204819277,0.925925926,0
a_3,3.333333333,1.204819277,0,0
a_4,3.333333333,1.204819277,0,3.773584906
a_5,3.333333333,3.614457831,0.925925926,0
a_6,0,0,2.777777778,0
a_7,0,1.204819277,3.703703704,1.886792453
b_1,0,6.024096386,0.925925926,0
b_2,1.666666667,2.409638554,2.777777778,1.886792453
b_3,3.333333333,2.409638554,1.851851852,1.886792453
b_4,5,0,2.777777778,1.886792453
b_5,0,4.819277108,0.925925926,0
b_6,3.333333333,3.614457831,0.925925926,1.886792453
b_7,1.666666667,1.204819277,4.62962963,0
b_8,8.333333333,1.204819277,3.703703704,3.773584906
c_1,3.333333333,1.204819277,2.777777778,0
d_1,1.666666667,1.204819277,0.925925926,0
d_2,0,0,0,5.660377358
e_1,5,6.024096386,3.703703704,0
e_2,0,1.204819277,0.925925926,0
f_1,0,2.409638554,0.925925926,0
g_1,0,1.204819277,5.555555556,3.773584906
h_1,0,3.614457831,0.925925926,1.886792453
i_1,1.666666667,0,0.925925926,5.660377358
j_1,18.33333333,19.27710843,18.51851852,5.660377358
k_1,1.666666667,2.409638554,4.62962963,7.547169811
l_1,1.666666667,2.409638554,1.851851852,0
m_1,1.666666667,0,1.851851852,0
n_1,8.333333333,6.024096386,9.259259259,7.547169811
o_1,18.33333333,21.68674699,16.66666667,39.62264151